0.392	0.856359	0.189767
0.393	0.859111	0.190505
0.394	0.861865	0.191243
0.395	0.864622	0.191983
0.396	0.86738	0.192723
0.397	0.87014	0.193464
0.398	0.872903	0.194206
0.399	0.875667	0.194949
0.4	0.878434	0.195692
0.401	0.881202	0.196436
0.402	0.883972	0.197182
0.403	0.886745	0.197928
0.404	0.889519	0.198674
0.405	0.892295	0.199422
0.406	0.895073	0.20017
0.407	0.897854	0.200919
0.408	0.900636	0.201669
0.409	0.90342	0.20242
0.41	0.906206	0.203171
0.411	0.908994	0.203924
0.412	0.911784	0.204677
0.413	0.914576	0.205431
0.414	0.91737	0.206186
0.415	0.920166	0.206941
0.416	0.922964	0.207697
0.417	0.925764	0.208454
0.418	0.928565	0.209212
0.419	0.931369	0.209971
0.42	0.934175	0.21073
0.421	0.936982	0.21149
0.422	0.939792	0.212251
0.423	0.942603	0.213013
0.424	0.945416	0.213775
0.425	0.948232	0.214539
0.426	0.951049	0.215303
0.427	0.953868	0.216068
0.428	0.956689	0.216833
0.429	0.959512	0.2176
0.43	0.962337	0.218367
0.431	0.965163	0.219135
0.432	0.967992	0.219903
0.433	0.970822	0.220673
0.434	0.973655	0.221443
0.435	0.976489	0.222214
0.436	0.979325	0.222985
0.437	0.982163	0.223758
0.438	0.985003	0.224531
0.439	0.987845	0.225305
0.44	0.990689	0.22608
0.441	0.993534	0.226855
0.442	0.996382	0.227631
0.443	0.999231	0.228408
0.444	1.00208	0.229186
0.445	1.00494	0.229964
0.446	1.00779	0.230744
0.447	1.01065	0.231524
0.448	1.01351	0.232304
0.449	1.01637	0.233086
0.45	1.01923	0.233868
0.451	1.02209	0.234651
0.452	1.02496	0.235434
0.453	1.02783	0.236219
0.454	1.0307	0.237004
0.455	1.03357	0.23779
0.456	1.03644	0.238576
0.457	1.03932	0.239364
0.458	1.04219	0.240152
0.459	1.04507	0.240941
0.46	1.04795	0.24173
0.461	1.05084	0.24252
0.462	1.05372	0.243311
0.463	1.05661	0.244103
0.464	1.05949	0.244895
0.465	1.06238	0.245689
0.466	1.06527	0.246482
0.467	1.06817	0.247277
0.468	1.07106	0.248072
0.469	1.07396	0.248868
0.47	1.07686	0.249665
0.471	1.07976	0.250463
0.472	1.08266	0.251261
0.473	1.08557	0.25206
0.474	1.08847	0.252859
0.475	1.09138	0.25366
0.476	1.09429	0.254461
0.477	1.0972	0.255262
0.478	1.10011	0.256065
0.479	1.10303	0.256868
0.48	1.10595	0.257672
0.481	1.10886	0.258476
0.482	1.11178	0.259282
0.483	1.11471	0.260088
0.484	1.11763	0.260894
0.485	1.12056	0.261702
0.486	1.12348	0.26251
0.487	1.12641	0.263318
0.488	1.12934	0.264128
0.489	1.13228	0.264938
0.49	1.13521	0.265749
0.491	1.13815	0.26656
0.492	1.14108	0.267373
0.493	1.14402	0.268186
0.494	1.14697	0.268999
0.495	1.14991	0.269814
0.496	1.15285	0.270629
0.497	1.1558	0.271444
0.498	1.15875	0.272261
0.499	1.1617	0.273078
0.5	1.16465	0.273895
0.501	1.1676	0.274714
0.502	1.17056	0.275533
0.503	1.17352	0.276353
0.504	1.17647	0.277173
0.505	1.17943	0.277994
0.506	1.1824	0.278816
0.507	1.18536	0.279639
0.508	1.18833	0.280462
0.509	1.19129	0.281286
0.51	1.19426	0.28211
0.511	1.19723	0.282936
0.512	1.20021	0.283762
0.513	1.20318	0.284588
0.514	1.20616	0.285415
0.515	1.20913	0.286243
0.516	1.21211	0.287072
0.517	1.21509	0.287901
0.518	1.21808	0.288731
0.519	1.22106	0.289562
0.52	1.22405	0.290393
0.521	1.22703	0.291225
0.522	1.23002	0.292057
0.523	1.23301	0.292891
0.524	1.23601	0.293725
0.525	1.239	0.294559
0.526	1.242	0.295394
0.527	1.245	0.29623
0.528	1.24799	0.297067
0.529	1.251	0.297904
0.53	1.254	0.298742
0.531	1.257	0.29958
0.532	1.26001	0.300419
0.533	1.26302	0.301259
0.534	1.26603	0.3021
0.535	1.26904	0.302941
0.536	1.27205	0.303783
0.537	1.27506	0.304625
0.538	1.27808	0.305468
0.539	1.2811	0.306312
0.54	1.28412	0.307156
0.541	1.28714	0.308001
0.542	1.29016	0.308847
0.543	1.29319	0.309693
0.544	1.29621	0.31054
0.545	1.29924	0.311388
0.546	1.30227	0.312236
0.547	1.3053	0.313085
0.548	1.30833	0.313934
0.549	1.31137	0.314784
0.55	1.3144	0.315635
0.551	1.31744	0.316487
0.552	1.32048	0.317339
0.553	1.32352	0.318191
0.554	1.32656	0.319045
0.555	1.3296	0.319899
0.556	1.33265	0.320753
0.557	1.3357	0.321609
0.558	1.33875	0.322464
0.559	1.3418	0.323321
0.56	1.34485	0.324178
0.561	1.3479	0.325036
0.562	1.35096	0.325894
0.563	1.35401	0.326753
0.564	1.35707	0.327613
0.565	1.36013	0.328473
0.566	1.36319	0.329334
0.567	1.36626	0.330195
0.568	1.36932	0.331058
0.569	1.37239	0.33192
0.57	1.37546	0.332784
0.571	1.37853	0.333648
0.572	1.3816	0.338176
0.573	1.38467	0.339041
0.574	1.38774	0.339907
0.575	1.39082	0.340774
0.576	1.3939	0.341641
0.577	1.39698	0.342508
0.578	1.40006	0.343377
0.579	1.40314	0.344246
0.58	1.40622	0.345115
0.581	1.40931	0.345985
0.582	1.4124	0.346856
0.583	1.41548	0.347728
0.584	1.41857	0.3486
0.585	1.42167	0.349472
0.586	1.42476	0.350346
0.587	1.42785	0.351219
0.588	1.43095	0.352094
0.589	1.43405	0.352969
0.59	1.43715	0.353845
0.591	1.44025	0.354721
0.592	1.44335	0.355598
0.593	1.44646	0.356475
0.594	1.44956	0.357353
0.595	1.45267	0.358232
0.596	1.45578	0.359111
0.597	1.45889	0.359991
0.598	1.462	0.360872
0.599	1.46511	0.361753
0.6	1.46823	0.362634
0.601	1.47135	0.363517
0.602	1.47446	0.364399
0.603	1.47758	0.365283
0.604	1.4807	0.366167
0.605	1.48383	0.367052
0.606	1.48695	0.367937
0.607	1.49008	0.368823
0.608	1.4932	0.369709
0.609	1.49633	0.370596
0.61	1.49946	0.371484
0.611	1.5026	0.372372
0.612	1.50573	0.373261
0.613	1.50886	0.37415
0.614	1.512	0.37504
0.615	1.51514	0.375931
0.616	1.51828	0.376822
0.617	1.52142	0.377714
0.618	1.52456	0.378606
0.619	1.52771	0.379499
0.62	1.53085	0.380393
0.621	1.534	0.381287
0.622	1.53715	0.382181
0.623	1.5403	0.383077
0.624	1.54345	0.383973
0.625	1.5466	0.384869
0.626	1.54976	0.385766
0.627	1.55291	0.386664
0.628	1.55607	0.387562
0.629	1.55923	0.388461
0.63	1.56239	0.38936
